Sigma Gauss	Esperanza Poisson	Límite de integración ePix 
 [e]	 [e/pxl]	 [e] 
0.209	0.0302508	0.634
0.209	0.0287082	0.636
0.209	0.0272442	0.638
0.209	0.0258547	0.64
0.209	0.0245359	0.642
0.209	0.0232842	0.644
0.209	0.0220962	0.646
0.209	0.0209688	0.648
0.209	0.0198987	0.65
0.209	0.0188831	0.652
0.209	0.0179193	0.654
0.209	0.0170045	0.656
0.209	0.0161363	0.658
0.209	0.0153124	0.66
0.209	0.0145304	0.662
0.209	0.0137882	0.664
0.209	0.0130839	0.666
0.209	0.0124155	0.668
0.209	0.0117811	0.67
0.209	0.0111791	0.672
0.209	0.0106077	0.674
0.209	0.0100655	0.676
0.209	0.00955094	0.678
0.209	0.0090626	0.68
0.209	0.00859916	0.682
0.209	0.00815936	0.684
0.209	0.00774199	0.686
0.209	0.00734591	0.688
0.209	0.00697004	0.69
0.209	0.00661335	0.692
0.209	0.00627486	0.694
0.209	0.00595364	0.696
0.209	0.00564882	0.698
0.209	0.00535956	0.7
0.209	0.00508507	0.702
0.209	0.0048246	0.704
0.209	0.00457743	0.706
0.209	0.00434288	0.708
0.209	0.00412031	0.71
0.209	0.00390911	0.712
0.209	0.00370871	0.714
0.209	0.00351854	0.716
0.209	0.0033381	0.718
0.209	0.00316687	0.72
0.209	0.00300441	0.722
0.209	0.00285024	0.724
0.209	0.00270397	0.726
0.209	0.00256517	0.728
0.209	0.00243348	0.73
0.209	0.00230852	0.732
0.209	0.00218995	0.734
0.209	0.00207746	0.736
0.209	0.00197072	0.738
0.209	0.00186945	0.74
0.209	0.00177336	0.742
0.209	0.00168219	0.744
0.209	0.00159569	0.746
0.209	0.00151362	0.748
0.209	0.00143576	0.75
0.209	0.00136189	0.752
0.209	0.0012918	0.754
0.209	0.00122531	0.756
0.209	0.00116223	0.758
0.209	0.00110238	0.76
0.209	0.0010456	0.762
0.209	0.00099173	0.764
0.209	0.000940627	0.766
0.209	0.000892147	0.768
0.209	0.000846155	0.77
0.209	0.000802523	0.772
0.209	0.000761133	0.774
0.209	0.000721868	0.776
0.209	0.000684619	0.778
0.209	0.000649285	0.78
0.209	0.000615766	0.782
0.209	0.00058397	0.784
0.209	0.000553808	0.786
0.209	0.000525198	0.788
0.209	0.000498058	0.79
0.209	0.000472315	0.792
0.209	0.000447896	0.794
0.209	0.000424734	0.796
0.209	0.000402764	0.798
0.209	0.000381925	0.8
0.209	0.000362159	0.802
0.211	0.35863	0.54
0.211	0.340701	0.542
0.211	0.323668	0.544
0.211	0.307487	0.546
0.211	0.292113	0.548
0.211	0.277508	0.55
0.211	0.263632	0.552
0.211	0.25045	0.554
0.211	0.237927	0.556
0.211	0.226029	0.558
0.211	0.214725	0.56
0.211	0.203987	0.562
0.211	0.193785	0.564
0.211	0.184092	0.566
0.211	0.174884	0.568
0.211	0.166136	0.57
0.211	0.157826	0.572
0.211	0.14993	0.574
0.211	0.142429	0.576
0.211	0.135303	0.578
0.211	0.128533	0.58
0.211	0.122102	0.582
0.211	0.115992	0.584
0.211	0.110187	0.586
0.211	0.104672	0.588
0.211	0.0994333	0.59
0.211	0.0944562	0.592
0.211	0.0897279	0.594
0.211	0.085236	0.596
0.211	0.0809686	0.598
0.211	0.0769146	0.6
0.211	0.0730633	0.602
0.211	0.0694045	0.604
0.211	0.0659287	0.606
0.211	0.0626266	0.608
0.211	0.0594897	0.61
0.211	0.0565097	0.612
0.211	0.0536787	0.614
0.211	0.0509893	0.616
0.211	0.0484344	0.618
0.211	0.0460073	0.62
0.211	0.0437016	0.622
0.211	0.0415112	0.624
0.211	0.0394305	0.626
0.211	0.0374538	0.628
0.211	0.0355761	0.63
0.211	0.0337923	0.632
0.211	0.0320978	0.634
0.211	0.030488	0.636
0.211	0.0289589	0.638
0.211	0.0275063	0.64
0.211	0.0261264	0.642
0.211	0.0248156	0.644
0.211	0.0235704	0.646
0.211	0.0223875	0.648
0.211	0.0212639	0.65
0.211	0.0201966	0.652
0.211	0.0191827	0.654
0.211	0.0182196	0.656
0.211	0.0173047	0.658
0.211	0.0164357	0.66
0.211	0.0156102	0.662
0.211	0.014826	0.664
0.211	0.0140812	0.666
0.211	0.0133737	0.668
0.211	0.0127016	0.67
0.211	0.0120633	0.672
0.211	0.0114569	0.674
0.211	0.0108809	0.676
0.211	0.0103338	0.678
0.211	0.00981418	0.68
0.211	0.00932059	0.682
0.211	0.00885175	0.684
0.211	0.00840643	0.686
0.211	0.00798346	0.688
0.211	0.0075817	0.69
0.211	0.00720011	0.692
0.211	0.00683766	0.694
